epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.0124,0.67026,0.60714,1,0.69874,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05
2,82.6083,0.6635,0.75,1,0.66354,0.000441178,0.000147059,0.000441178,0.000147059,0.000441178,0.000147059,0.000441178,0.000147059
3,121.778,0.63839,0.75,1,0.61887,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138
4,146.996,0.63068,0.82143,1,0.58332,0.000893749,0.000297916,0.000893749,0.000297916,0.000893749,0.000297916,0.000893749,0.000297916
5,172.035,0.60727,0.89286,1,0.53772,0.00110518,0.000368394,0.00110518,0.000368394,0.00110518,0.000368394,0.00110518,0.000368394
6,190.416,0.60066,0.92857,1,0.50264,0.00130671,0.00043557,0.00130671,0.00043557,0.00130671,0.00043557,0.00130671,0.00043557
7,216.452,0.57269,0.92857,1,0.45227,0.00149834,0.000499447,0.00149834,0.000499447,0.00149834,0.000499447,0.00149834,0.000499447
8,236.057,0.52554,0.96429,1,0.42201,0.00168007,0.000560022,0.00168007,0.000560022,0.00168007,0.000560022,0.00168007,0.000560022
9,261.509,0.46402,0.96429,1,0.36836,0.00185189,0.000617297,0.00185189,0.000617297,0.00185189,0.000617297,0.00185189,0.000617297
10,279.469,0.45113,0.96429,1,0.33649,0.00201381,0.000671271,0.00201381,0.000671271,0.00201381,0.000671271,0.00201381,0.000671271
11,297.908,0.39025,0.96429,1,0.30577,0.00216583,0.000721944,0.00216583,0.000721944,0.00216583,0.000721944,0.00216583,0.000721944
12,316.313,0.38194,0.96429,1,0.27614,0.00230795,0.000769317,0.00230795,0.000769317,0.00230795,0.000769317,0.00230795,0.000769317
13,327.561,0.35205,0.96429,1,0.26156,0.00244017,0.000813389,0.00244017,0.000813389,0.00244017,0.000813389,0.00244017,0.000813389
14,345.634,0.34314,0.96429,1,0.23619,0.00256248,0.000854161,0.00256248,0.000854161,0.00256248,0.000854161,0.00256248,0.000854161
15,364.929,0.33974,0.96429,1,0.20983,0.00267489,0.000891632,0.00267489,0.000891632,0.00267489,0.000891632,0.00267489,0.000891632
16,376.302,0.2815,0.96429,1,0.19972,0.00277741,0.000925802,0.00277741,0.000925802,0.00277741,0.000925802,0.00277741,0.000925802
17,394.896,0.29566,0.96429,1,0.18766,0.00287001,0.000956671,0.00287001,0.000956671,0.00287001,0.000956671,0.00287001,0.000956671
18,406.485,0.20625,0.96429,1,0.17995,0.00295272,0.00098424,0.00295272,0.00098424,0.00295272,0.00098424,0.00295272,0.00098424
